"PID","DAY","ANX1","ANX2","ANX3","RUM1","RUM2","RUM3","LON1","LON2","LON3","LON4","LON5","LON6"
"DISS-3001",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3001",2,1,2,1,1,1,2,1,2,3,1,2,2
"DISS-3001",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3001",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3001",5,1,2,1,1,1,1,1,1,1,1,1,1
"DISS-3001",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3001",7,1,1,1,2,2,2,1,1,1,1,1,1
"DISS-3002",1,1,1,1,2,2,2,1,1,1,1,1,1
"DISS-3002",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3002",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3002",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3002",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3002",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3002",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",1,1,1,1,2,3,3,1,1,1,1,1,1
"DISS-3003",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3003",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3004",1,1,1,2,2,2,2,1,1,1,1,1,1
"DISS-3004",2,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3004",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3004",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3004",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3004",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3004",7,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3005",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3005",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3005",3,1,1,1,1,1,1,2,2,1,1,1,1
"DISS-3005",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3005",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3005",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3005",7,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3006",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3006",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3006",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3006",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3006",5,1,1,3,1,1,1,1,1,1,1,1,1
"DISS-3006",6,1,1,3,1,1,1,1,1,1,1,1,1
"DISS-3006",7,1,1,3,1,1,1,2,2,1,1,2,1
"DISS-3007",1,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3007",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3007",3,2,1,2,1,1,1,1,1,1,1,1,1
"DISS-3007",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3007",5,1,2,1,1,1,1,1,1,1,1,1,1
"DISS-3007",6,1,2,1,1,1,1,1,1,1,1,1,1
"DISS-3007",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3008",1,1,1,1,1,1,3,1,1,1,1,1,1
"DISS-3008",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3008",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3008",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3008",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3008",6,1,1,1,1,1,1,1,1,1,5,1,1
"DISS-3008",7,1,1,1,1,2,2,2,1,2,3,3,3
"DISS-3009",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3009",2,1,1,1,2,1,1,1,1,1,1,1,1
"DISS-3009",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3009",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3009",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3009",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DISS-3009",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3010",1,1,1,1,2,2,1,1,1,1,1,1,1
"DISS-3010",2,1,1,1,2,2,1,1,1,1,1,1,1
"DISS-3010",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3010",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3010",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3010",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3010",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3011",1,3,1,2,1,2,4,1,1,1,1,1,1
"DISS-3011",2,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3011",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3011",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3011",5,1,3,1,1,1,1,1,1,3,1,1,1
"DISS-3011",6,1,3,3,1,1,1,1,1,1,5,2,1
"DISS-3011",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3012",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3012",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3012",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3012",4,1,1,3,2,2,2,1,1,1,1,1,1
"DISS-3012",5,1,1,1,2,2,2,1,1,1,1,1,1
"DISS-3012",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3012",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3013",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3013",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3013",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3013",4,3,3,3,1,1,1,1,1,1,1,1,1
"DISS-3013",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3013",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3013",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3014",1,1,1,1,2,2,2,1,1,1,1,1,1
"DISS-3014",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3014",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3014",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3014",5,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3014",6,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3014",7,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3015",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3015",2,1,2,1,3,2,2,1,1,2,1,1,1
"DISS-3015",3,1,1,1,2,2,2,1,1,1,1,1,1
"DISS-3015",4,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3015",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3015",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3015",7,1,1,1,1,1,2,1,1,1,1,1,1
"DISS-3016",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3016",2,1,1,1,1,1,1,2,1,2,1,1,1
"DISS-3016",3,1,1,1,1,1,1,2,1,2,2,1,1
"DISS-3016",4,1,1,2,1,1,1,2,1,1,1,1,1
"DISS-3016",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3016",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3016",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3017",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3017",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3017",3,1,1,1,3,1,1,1,1,1,1,1,1
"DISS-3017",4,1,1,1,2,1,1,1,1,1,1,1,1
"DISS-3017",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3017",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3017",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3018",1,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3018",2,2,1,1,1,1,1,1,1,1,1,1,1
"DISS-3018",3,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3018",4,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3018",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3018",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3018",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3019",1,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3019",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3019",3,1,1,1,1,1,1,1,1,2,1,1,1
"DISS-3019",4,1,3,3,1,1,1,1,1,1,1,1,1
"DISS-3019",5,2,2,3,1,1,1,3,1,1,3,2,2
"DISS-3019",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3019",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3020",1,2,4,4,1,2,2,2,5,5,2,2,3
"DISS-3020",2,1,1,1,1,2,1,1,1,1,1,1,1
"DISS-3020",3,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3020",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3020",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3020",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3020",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3021",1,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3021",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3021",3,2,1,1,1,1,1,1,1,1,1,1,1
"DISS-3021",4,2,2,1,2,1,2,1,1,1,1,1,1
"DISS-3021",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3021",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3021",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3022",1,2,2,3,2,2,4,1,1,1,2,1,1
"DISS-3022",2,1,1,1,1,2,2,2,1,1,2,1,1
"DISS-3022",3,1,1,1,1,1,2,1,1,1,1,2,1
"DISS-3022",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3022",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3022",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3022",7,1,2,3,1,1,1,1,2,1,1,2,1
"DISS-3023",1,3,3,3,1,1,1,1,1,1,1,1,1
"DISS-3023",2,2,1,2,1,1,1,1,1,1,1,1,1
"DISS-3023",3,2,1,2,1,4,4,1,1,1,1,1,1
"DISS-3023",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3023",5,1,1,1,1,4,4,1,1,1,1,1,1
"DISS-3023",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3023",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3024",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3024",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3024",3,1,1,1,5,2,4,1,5,2,1,4,4
"DISS-3024",4,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3024",5,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3024",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3024",7,1,1,1,1,1,1,1,1,2,1,1,1
"DISS-3025",1,1,1,1,2,2,2,1,1,1,1,1,1
"DISS-3025",2,1,2,1,2,1,3,1,1,4,1,1,1
"DISS-3025",3,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3025",4,1,2,1,3,1,2,1,1,2,1,1,1
"DISS-3025",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3025",6,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3025",7,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3026",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3026",2,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3026",3,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3026",4,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3026",5,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3026",6,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3026",7,1,1,1,1,1,1,2,1,1,1,1,1
"DISS-3027",1,1,1,1,1,1,1,1,1,1,1,1,1
"DISS-3027",2,1,1,2,1,1,1,1,1,1,1,1,1
"DISS-3027",3,2,1,1,1,1,1,1,1,1,1,1,1
"DISS-3027",4,2,1,2,1,1,1,2,1,1,1,1,1
